"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Categories: 'CARDIAC & CARDIOVASCULAR SYSTEMS' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
1,EUROPEAN HEART JOURNAL,23.425,7.465
2,CIRCULATION,18.881,7.199
3,JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,16.834,7.479
4,CIRCULATION RESEARCH,15.211,4.843
5,Nature Reviews Cardiology,15.162,5.065
6,EUROPEAN JOURNAL OF HEART FAILURE,10.683,2.825
7,JACC-Cardiovascular Imaging,10.247,3.865
8,JAMA Cardiology,10.133,5.970
9,JACC-Cardiovascular Interventions,9.881,3.638
10,European Heart Journal-Cardiovascular Imaging,8.336,2.101
11,JACC-Heart Failure,8.202,4.288
12,JOURNAL OF HEART AND LUNG TRANSPLANTATION,7.955,2.708
13,JOURNAL OF THE AMERICAN SOCIETY OF ECHOCARDIOGRAPHY,6.827,1.826
14,PROGRESS IN CARDIOVASCULAR DISEASES,6.754,1.740
15,Circulation-Cardiovascular Interventions,6.504,2.891
16,CARDIOVASCULAR RESEARCH,6.290,1.991
17,Circulation-Cardiovascular Imaging,6.221,2.932
18,BASIC RESEARCH IN CARDIOLOGY,5.723,1.707
19,Circulation-Heart Failure,5.684,3.004
20,Circulation-Cardiovascular Genetics,5.664,2.123
21,JOURNAL OF CARDIOVASCULAR MAGNETIC RESONANCE,5.457,1.944
22,HEART,5.420,2.106
23,JOURNAL OF MOLECULAR AND CELLULAR CARDIOLOGY,5.296,1.564
24,Cardiovascular Diabetology,5.235,1.016
25,EUROPACE,5.231,1.533
26,REVISTA ESPANOLA DE CARDIOLOGIA,5.166,0.832
27,Circulation-Cardiovascular Quality and Outcomes,5.036,2.715
28,JOURNAL OF THORACIC AND CARDIOVASCULAR SURGERY,4.880,1.438
29,HEART RHYTHM,4.743,1.805
30,Circulation-Arrhythmia and Electrophysiology,4.728,2.103
31,TRENDS IN CARDIOVASCULAR MEDICINE,4.598,1.153
32,European Journal of Preventive Cardiology,4.542,1.148
33,CANADIAN JOURNAL OF CARDIOLOGY,4.524,1.334
34,ATHEROSCLEROSIS,4.467,1.243
35,Clinical Research in Cardiology,4.455,1.061
36,Journal of the American Heart Association,4.450,2.025
37,EuroIntervention,4.417,1.419
38,CURRENT PROBLEMS IN CARDIOLOGY,4.190,1.348
39,AMERICAN HEART JOURNAL,4.171,2.108
40,HEART FAILURE REVIEWS,4.104,1.205
41,INTERNATIONAL JOURNAL OF CARDIOLOGY,4.034,1.312
42,JOURNAL OF NUCLEAR CARDIOLOGY,4.011,0.635
43,JOURNAL OF CARDIAC FAILURE,3.942,1.363
44,ANNALS OF THORACIC SURGERY,3.780,1.181
45,AMERICAN JOURNAL OF PHYSIOLOGY-HEART AND CIRCULATORY PHYSIOLOGY,3.569,1.122
46,EUROPEAN JOURNAL OF CARDIO-THORACIC SURGERY,3.504,1.064
47,NUTRITION METABOLISM AND CARDIOVASCULAR DISEASES,3.318,0.926
48,RESPIRATORY MEDICINE,3.230,1.001
49,AMERICAN JOURNAL OF CARDIOLOGY,3.171,1.164
50,Journal of Cardiovascular Computed Tomography,3.095,0.966
51,Cardiovascular Toxicology,2.989,0.578
52,JOURNAL OF CARDIOVASCULAR PHARMACOLOGY AND THERAPEUTICS,2.936,0.787
53,Journal of Cardiology,2.918,0.625
54,CIRCULATION JOURNAL,2.895,0.893
55,JOURNAL OF CARDIOVASCULAR ELECTROPHYSIOLOGY,2.873,1.144
56,CARDIOVASCULAR DRUGS AND THERAPY,2.771,0.868
57,American Journal of Cardiovascular Drugs,2.741,0.655
58,CLINICAL CARDIOLOGY,2.733,0.830
59,European Journal of Cardiovascular Nursing,2.651,0.637
60,CATHETERIZATION AND CARDIOVASCULAR INTERVENTIONS,2.602,0.716
61,CARDIOVASCULAR PATHOLOGY,2.496,0.742
62,Archives of Cardiovascular Diseases,2.370,0.888
63,Journal of Cardiovascular Translational Research,2.337,0.871
64,Pulmonary Circulation,2.283,Not Available
65,Cardiovascular Therapeutics,2.245,0.697
66,JOURNAL OF CARDIOVASCULAR PHARMACOLOGY,2.227,0.588
67,CardioRenal Medicine,2.221,0.587
68,CARDIOVASCULAR AND INTERVENTIONAL RADIOLOGY,2.210,0.643
69,HEART AND VESSELS,2.185,0.388
70,Journal of Cardiovascular Nursing,2.097,0.644
71,INTERNATIONAL JOURNAL OF CARDIOVASCULAR IMAGING,2.036,0.576
72,CURRENT OPINION IN CARDIOLOGY,2.006,0.678
73,Congenital Heart Disease,1.995,0.586
74,Current Cardiology Reports,1.958,0.616
75,Cardiology in Review,1.951,0.640
76,Heart Lung and Circulation,1.921,0.450
77,Heart Failure Clinics,1.920,0.685
78,Hellenic Journal of Cardiology,1.890,0.258
79,International Heart Journal,1.826,0.364
80,Journal of Cardiovascular Medicine,1.824,0.466
81,BMC Cardiovascular Disorders,1.812,0.628
82,Interactive Cardiovascular and Thoracic Surgery,1.756,0.473
83,HEART & LUNG,1.730,0.527
84,JOURNAL OF INTERVENTIONAL CARDIOLOGY,1.728,0.442
85,CARDIOLOGY,1.714,0.541
86,CORONARY ARTERY DISEASE,1.705,0.453
87,Journal of Cardiopulmonary Rehabilitation and Prevention,1.685,0.573
88,Cardiovascular Ultrasound,1.652,0.598
89,Journal of Geriatric Cardiology,1.581,0.419
90,JOURNAL OF CARDIOTHORACIC AND VASCULAR ANESTHESIA,1.574,0.406
91,ANNALS OF NONINVASIVE ELECTROCARDIOLOGY,1.562,0.431
92,PEDIATRIC CARDIOLOGY,1.540,0.513
93,JOURNAL OF INVASIVE CARDIOLOGY,1.537,0.347
94,THORACIC AND CARDIOVASCULAR SURGEON,1.536,0.345
95,JOURNAL OF INTERVENTIONAL CARDIAC ELECTROPHYSIOLOGY,1.522,0.610
96,Netherlands Heart Journal,1.476,0.372
97,Cardiovascular Engineering and Technology,1.451,Not Available
98,SCANDINAVIAN CARDIOVASCULAR JOURNAL,1.449,0.409
99,Postepy w Kardiologii Interwencyjnej,1.443,0.138
100,PACE-PACING AND CLINICAL ELECTROPHYSIOLOGY,1.441,0.550
101,JOURNAL OF ELECTROCARDIOLOGY,1.421,0.371
101,Korean Circulation Journal,1.421,0.275
103,CARDIOLOGY CLINICS,1.420,0.573
104,Annals of Thoracic Medicine,1.395,0.370
105,Cardiology Journal,1.339,0.334
106,Arquivos Brasileiros de Cardiologia,1.318,0.271
107,Anatolian Journal of Cardiology,1.271,0.176
108,Kardiologia Polska,1.213,0.197
109,ECHOCARDIOGRAPHY-A JOURNAL OF CARDIOVASCULAR ULTRASOUND AND ALLIED TECHNIQUES,1.197,0.356
110,JOURNAL OF CARDIOVASCULAR SURGERY,1.195,0.358
111,JOURNAL OF CARDIAC SURGERY,1.179,0.363
112,PERFUSION-UK,1.147,0.303
113,Cardiology Research and Practice,1.143,Not Available
114,Cardiovascular Journal of Africa,1.128,0.388
115,Journal of Cardiothoracic Surgery,1.117,0.389
116,CARDIOLOGY IN THE YOUNG,0.978,0.327
117,Annals of Thoracic and Cardiovascular Surgery,0.940,0.179
118,HERZ,0.936,0.180
119,Acta Cardiologica Sinica,0.927,0.134
120,ACTA CARDIOLOGICA,0.876,0.259
121,Revista Portuguesa de Cardiologia,0.827,0.147
122,BRAZILIAN JOURNAL OF CARDIOVASCULAR SURGERY,0.805,0.155
123,TEXAS HEART INSTITUTE JOURNAL,0.715,0.219
124,MINERVA CARDIOANGIOLOGICA,0.571,0.152
125,Reviews in Cardiovascular Medicine,0.462,0.179
126,EUROPEAN HEART JOURNAL SUPPLEMENTS,0.418,0.139
127,HEART SURGERY FORUM,0.364,0.121
128,KARDIOLOGIYA,0.210,0.023
Copyright Â© 2019 Clarivate Analytics,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,
