"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Categories: 'CRIMINOLOGY & PENOLOGY' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
1,Trauma Violence & Abuse,4.329,1.827
2,JOURNAL OF QUANTITATIVE CRIMINOLOGY,4.316,1.801
3,Journal of Experimental Criminology,3.912,1.215
4,CRIMINOLOGY,3.796,2.878
5,SEXUAL ABUSE-A JOURNAL OF RESEARCH AND TREATMENT,3.444,0.942
6,JOURNAL OF CRIMINAL JUSTICE,3.139,1.085
7,JOURNAL OF RESEARCH IN CRIME AND DELINQUENCY,2.899,1.592
8,Journal of School Violence,2.721,Not Available
9,Psychology of Violence,2.500,1.024
10,BRITISH JOURNAL OF CRIMINOLOGY,2.464,0.942
11,JUSTICE QUARTERLY,2.456,1.370
12,JOURNAL OF INTERPERSONAL VIOLENCE,2.443,0.795
13,AGGRESSION AND VIOLENT BEHAVIOR,2.230,0.954
14,Criminology & Public Policy,2.216,0.918
15,CRIMINAL JUSTICE AND BEHAVIOR,2.168,0.821
16,CRIME & DELINQUENCY,1.941,0.858
17,Crime and Justice-A Review of Research,1.909,1.324
18,European Journal of Criminology,1.873,0.574
18,THEORETICAL CRIMINOLOGY,1.873,0.980
20,POLICE QUARTERLY,1.865,0.676
21,Journal of Contemporary Criminal Justice,1.857,0.687
22,LEGAL AND CRIMINOLOGICAL PSYCHOLOGY,1.837,0.754
23,Youth Violence and Juvenile Justice,1.796,0.682
24,PUNISHMENT & SOCIETY-INTERNATIONAL JOURNAL OF PENOLOGY,1.735,0.668
25,AUSTRALIAN AND NEW ZEALAND JOURNAL OF CRIMINOLOGY,1.650,0.442
26,PSYCHOLOGY CRIME & LAW,1.598,0.540
27,Policing & Society,1.511,0.502
28,INTERNATIONAL JOURNAL OF OFFENDER THERAPY AND COMPARATIVE CRIMINOLOGY,1.452,0.431
29,Criminology & Criminal Justice,1.277,0.477
30,SOCIAL & LEGAL STUDIES,1.250,0.347
31,DEVIANT BEHAVIOR,1.242,0.447
32,Criminal Behaviour and Mental Health,1.185,0.436
33,Homicide Studies,1.063,0.528
34,European Journal on Criminal Policy and Research,1.030,0.316
35,International Journal of Speech Language and the Law,0.950,0.369
36,American Journal of Criminal Justice,0.925,Not Available
37,JOURNAL OF FORENSIC PSYCHIATRY & PSYCHOLOGY,0.891,0.315
38,Crime Media Culture,0.886,0.463
38,JOURNAL OF CRIMINAL LAW & CRIMINOLOGY,0.886,1.178
40,Journal of Investigative Psychology and Offender Profiling,0.882,0.390
41,Feminist Criminology,0.871,0.473
42,Violence and Victims,0.833,0.510
43,Asian Journal of Criminology,0.800,Not Available
44,Journal of Sexual Aggression,0.796,0.287
45,Psychiatry Psychology and Law,0.787,0.214
46,Youth Justice-An International Journal,0.786,Not Available
47,POLICING-AN INTERNATIONAL JOURNAL OF POLICE STRATEGIES & MANAGEMENT,0.776,0.303
48,Journal of Aggression Maltreatment & Trauma,0.698,Not Available
48,PRISON JOURNAL,0.698,0.243
50,International Journal of Forensic Mental Health,0.673,0.483
51,CRIME LAW AND SOCIAL CHANGE,0.662,0.371
52,International Journal of Law Crime and Justice,0.658,0.195
53,Journal of Forensic Nursing,0.642,Not Available
54,Security Journal,0.609,0.335
55,Critical Criminology,0.607,0.231
56,CANADIAN JOURNAL OF CRIMINOLOGY AND CRIMINAL JUSTICE,0.415,0.252
57,Journal of Forensic Psychology Practice,0.380,0.218
58,Recht & Psychiatrie,0.364,0.038
59,Monatsschrift fur Kriminologie und Strafrechtsreform,0.316,0.046
60,Deviance et Societe,0.300,0.086
61,Revija za Kriminalistiko in Kriminologijo,0.204,0.004
Copyright Â© 2019 Clarivate Analytics,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,
