"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Categories: 'ENGINEERING, GEOLOGICAL' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
1,Landslides,3.811,1.008
2,GEOTEXTILES AND GEOMEMBRANES,3.715,0.750
3,JOURNAL OF GEOTECHNICAL AND GEOENVIRONMENTAL ENGINEERING,3.305,1.079
4,COMPUTERS AND GEOTECHNICS,3.138,0.944
5,ENGINEERING GEOLOGY,3.100,0.954
6,GEOTECHNIQUE,2.982,1.299
7,INTERNATIONAL JOURNAL OF ROCK MECHANICS AND MINING SCIENCES,2.836,0.974
8,ROCK MECHANICS AND ROCK ENGINEERING,2.819,1.035
9,EARTHQUAKE ENGINEERING & STRUCTURAL DYNAMICS,2.807,1.122
10,Acta Geotechnica,2.779,0.908
11,CANADIAN GEOTECHNICAL JOURNAL,2.565,0.935
12,GEOSYNTHETICS INTERNATIONAL,2.406,0.719
13,International Journal of Geomechanics,2.332,0.596
14,Bulletin of Earthquake Engineering,2.303,0.860
15,INTERNATIONAL JOURNAL FOR NUMERICAL AND ANALYTICAL METHODS IN GEOMECHANICS,2.219,0.894
16,EARTHQUAKE SPECTRA,2.079,1.228
17,SOIL DYNAMICS AND EARTHQUAKE ENGINEERING,2.077,0.645
18,Bulletin of Engineering Geology and the Environment,1.825,0.516
19,Geomechanics and Engineering,1.818,0.238
20,Ingegneria Sismica,1.769,Not Available
21,JOURNAL OF EARTHQUAKE ENGINEERING,1.763,0.551
22,Geotechnique Letters,1.641,0.847
23,SOILS AND FOUNDATIONS,1.599,0.716
24,JOURNAL OF ENVIRONMENTAL AND ENGINEERING GEOPHYSICS,1.341,0.340
25,Earthquakes and Structures,1.309,0.270
26,European Journal of Environmental and Civil Engineering,1.290,0.306
27,GEOTECHNICAL TESTING JOURNAL,1.279,0.492
28,MARINE GEORESOURCES & GEOTECHNOLOGY,1.207,0.230
29,Environmental Geotechnics,1.200,0.403
30,PROCEEDINGS OF THE INSTITUTION OF CIVIL ENGINEERS-GEOTECHNICAL ENGINEERING,0.906,0.352
31,Earthquake Engineering and Engineering Vibration,0.847,0.333
32,QUARTERLY JOURNAL OF ENGINEERING GEOLOGY AND HYDROGEOLOGY,0.818,0.238
33,International Journal of Physical Modelling in Geotechnics,0.794,0.527
34,Soil Mechanics and Foundation Engineering,0.350,0.033
35,ENVIRONMENTAL & ENGINEERING GEOSCIENCE,0.318,0.238
36,Acta Geotechnica Slovenica,0.259,0.135
Copyright Â© 2019 Clarivate Analytics,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,
