"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Categories: 'ENGINEERING, INDUSTRIAL' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
1,IEEE Transactions on Industrial Informatics,5.430,1.801
2,TECHNOVATION,4.802,0.942
3,INTERNATIONAL JOURNAL OF PRODUCTION ECONOMICS,4.407,0.972
4,JOURNAL OF PRODUCT INNOVATION MANAGEMENT,4.305,1.037
5,RELIABILITY ENGINEERING & SYSTEM SAFETY,4.139,1.010
6,JOURNAL OF MANUFACTURING SYSTEMS,3.699,0.708
7,JOURNAL OF MATERIALS PROCESSING TECHNOLOGY,3.647,0.804
8,CIRP ANNALS-MANUFACTURING TECHNOLOGY,3.333,0.711
9,COMPUTERS & INDUSTRIAL ENGINEERING,3.195,0.771
10,COMPUTERS & OPERATIONS RESEARCH,2.962,1.027
11,INDUSTRIAL MANAGEMENT & DATA SYSTEMS,2.948,0.323
12,SAFETY SCIENCE,2.835,0.743
13,JOURNAL OF ENGINEERING AND TECHNOLOGY MANAGEMENT,2.686,0.524
14,RESEARCH IN ENGINEERING DESIGN,2.625,0.578
15,INTERNATIONAL JOURNAL OF PRODUCTION RESEARCH,2.623,0.544
16,APPLIED ERGONOMICS,2.435,0.598
17,HUMAN FACTORS,2.371,0.729
18,PRODUCTION PLANNING & CONTROL,2.330,0.409
19,JOURNAL OF QUALITY TECHNOLOGY,2.306,0.966
20,JOURNAL OF MANAGEMENT IN ENGINEERING,2.282,0.417
21,JOURNAL OF CONSTRUCTION ENGINEERING AND MANAGEMENT,2.201,0.433
22,Journal of Manufacturing Technology Management,2.194,Not Available
23,ERGONOMICS,2.019,0.582
24,ENGINEERING ECONOMIST,2.000,0.358
25,International Journal of Simulation Modelling,1.942,0.299
26,RESEARCH-TECHNOLOGY MANAGEMENT,1.796,0.522
27,IIE TRANSACTIONS,1.759,0.841
28,Engineering Construction and Architectural Management,1.613,Not Available
29,QUALITY AND RELIABILITY ENGINEERING INTERNATIONAL,1.604,0.435
30,INTERNATIONAL JOURNAL OF INDUSTRIAL ERGONOMICS,1.429,0.356
31,IEEE TRANSACTIONS ON ENGINEERING MANAGEMENT,1.416,0.474
32,Proceedings of the Institution of Mechanical Engineers Part O-Journal of Risk and Reliability,1.373,0.336
33,Cognition Technology & Work,1.260,0.322
34,Quality Engineering,1.238,0.393
35,Industrial Robot-The International Journal of Robotics Research and Application,1.205,0.240
36,European Journal of Industrial Engineering,1.085,0.229
37,ISSUES IN SCIENCE AND TECHNOLOGY,1.030,0.398
38,TRAVAIL HUMAIN,0.879,0.062
39,IEEE INDUSTRY APPLICATIONS MAGAZINE,0.864,0.302
40,PROBABILITY IN THE ENGINEERING AND INFORMATIONAL SCIENCES,0.803,0.461
41,Systems Engineering,0.797,0.225
42,Quality Technology and Quantitative Management,0.662,0.270
43,INTERNATIONAL JOURNAL OF INDUSTRIAL ENGINEERING-THEORY APPLICATIONS AND PRACTICE,0.565,0.121
44,Engineering Management Journal,0.487,0.060
45,South African Journal of Industrial Engineering,0.409,0.069
46,R&D MAGAZINE,0.109,0.003
47,IISE Transactions,Not Available,Not Available
Copyright Â© 2019 Clarivate Analytics,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,
