"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Categories: 'INSTRUMENTS & INSTRUMENTATION' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
1,IEEE TRANSACTIONS ON INDUSTRIAL ELECTRONICS,7.050,2.025
2,SENSORS AND ACTUATORS B-CHEMICAL,5.667,0.787
3,Microsystems & Nanoengineering,5.071,Not Available
4,STRUCTURAL HEALTH MONITORING-AN INTERNATIONAL JOURNAL,3.798,0.930
5,Structural Control & Health Monitoring,3.622,0.742
6,ISA TRANSACTIONS,3.370,0.767
7,IET Control Theory and Applications,3.296,0.897
8,JOURNAL OF SYNCHROTRON RADIATION,3.232,1.078
9,Smart Materials and Structures,2.963,0.772
10,APPLIED SPECTROSCOPY REVIEWS,2.826,0.814
11,IEEE TRANSACTIONS ON INSTRUMENTATION AND MEASUREMENT,2.794,0.668
12,CHEMOMETRICS AND INTELLIGENT LABORATORY SYSTEMS,2.701,0.595
13,Journal of Astronomical Telescopes Instruments and Systems,2.688,0.579
14,IEEE SENSORS JOURNAL,2.617,0.564
15,PRECISION ENGINEERING-JOURNAL OF THE INTERNATIONAL SOCIETIES FOR PRECISION ENGINEERING AND NANOTECHNOLOGY,2.582,0.574
16,JOURNAL OF MICROELECTROMECHANICAL SYSTEMS,2.475,0.506
16,SENSORS,2.475,0.554
18,Microfluidics and Nanofluidics,2.384,0.677
19,SENSORS AND ACTUATORS A-PHYSICAL,2.311,0.545
20,METROLOGIA,2.275,0.686
21,Smart Structures and Systems,2.231,0.416
22,Micromachines,2.222,0.470
23,MEASUREMENT,2.218,0.446
24,Surface Topography-Metrology and Properties,2.074,Not Available
25,Journal of Sensors,2.057,0.430
26,JOURNAL OF GUIDANCE CONTROL AND DYNAMICS,2.024,0.596
27,IEEE INSTRUMENTATION & MEASUREMENT MAGAZINE,1.895,0.332
28,JOURNAL OF MICROMECHANICS AND MICROENGINEERING,1.888,0.431
29,INFRARED PHYSICS & TECHNOLOGY,1.851,0.340
30,MEASUREMENT SCIENCE and TECHNOLOGY,1.685,0.471
31,APPLIED SPECTROSCOPY,1.642,0.464
32,TRANSACTIONS OF THE INSTITUTE OF MEASUREMENT AND CONTROL,1.579,0.272
33,Metrology and Measurement Systems,1.523,0.196
34,JOURNAL OF DYNAMIC SYSTEMS MEASUREMENT AND CONTROL-TRANSACTIONS OF THE ASME,1.521,0.412
35,JOURNAL OF CHEMOMETRICS,1.500,0.394
36,Quantitative InfraRed Thermography Journal,1.441,0.450
37,REVIEW OF SCIENTIFIC INSTRUMENTS,1.428,0.494
38,FLOW MEASUREMENT AND INSTRUMENTATION,1.407,0.383
39,Journal of X-Ray Science and Technology,1.381,0.242
40,Measurement Science Review,1.345,0.267
41,NUCLEAR INSTRUMENTS & METHODS IN PHYSICS RESEARCH SECTION A-ACCELERATORS SPECTROMETERS DETECTORS AND ASSOCIATED EQUIPMENT,1.336,0.394
42,NUCLEAR INSTRUMENTS & METHODS IN PHYSICS RESEARCH SECTION B-BEAM INTERACTIONS WITH MATERIALS AND ATOMS,1.323,0.367
43,Photonic Sensors,1.317,Not Available
44,Journal of Instrumentation,1.258,0.392
45,DISPLAYS,1.175,0.322
46,Sensor Review,1.070,0.206
47,SCANNING,0.994,0.279
48,INSTRUMENTATION SCIENCE & TECHNOLOGY,0.963,0.171
49,JOURNAL OF RESEARCH OF THE NATIONAL INSTITUTE OF STANDARDS AND TECHNOLOGY,0.898,0.422
50,MEASUREMENT & CONTROL,0.878,0.103
51,INSIGHT,0.754,0.170
52,CONCEPTS IN MAGNETIC RESONANCE PART B-MAGNETIC RESONANCE ENGINEERING,0.684,0.178
53,ACCREDITATION AND QUALITY ASSURANCE,0.667,0.133
54,INSTRUMENTS AND EXPERIMENTAL TECHNIQUES,0.613,0.125
55,MAPAN-Journal of Metrology Society of India,0.611,0.102
56,AUTOMATION AND REMOTE CONTROL,0.562,0.090
57,SENSORS AND MATERIALS,0.482,0.109
58,tm-Technisches Messen,0.476,0.036
59,MEASUREMENT TECHNIQUES,0.390,0.034
60,Romanian Journal of Information Science and Technology,0.288,0.082
61,AMERICAN LABORATORY,0.066,0.025
Copyright Â© 2019 Clarivate Analytics,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,
