"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Categories: 'MEDICAL LABORATORY TECHNOLOGY' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
1,CLINICAL CHEMISTRY,8.636,2.605
2,CRITICAL REVIEWS IN CLINICAL LABORATORY SCIENCES,6.481,1.444
3,Translational Research,4.880,1.276
4,Advances in Clinical Chemistry,4.250,0.863
5,ARCHIVES OF PATHOLOGY & LABORATORY MEDICINE,3.658,0.930
6,Biochemia Medica,3.653,1.386
7,CLINICAL CHEMISTRY AND LABORATORY MEDICINE,3.556,0.799
8,CLINICA CHIMICA ACTA,2.926,0.758
9,Biomedical Signal Processing and Control,2.783,0.600
10,CYTOMETRY PART B-CLINICAL CYTOMETRY,2.757,0.692
11,SEMINARS IN DIAGNOSTIC PATHOLOGY,2.655,0.821
12,JALA,2.632,0.588
13,CLINICAL BIOCHEMISTRY,2.584,0.661
14,THERAPEUTIC DRUG MONITORING,2.092,0.602
15,APPLIED IMMUNOHISTOCHEMISTRY & MOLECULAR MORPHOLOGY,2.042,0.457
16,ANNALS OF CLINICAL BIOCHEMISTRY,1.983,0.598
17,BRITISH JOURNAL OF BIOMEDICAL SCIENCE,1.969,0.290
18,PHARMACEUTICAL BIOLOGY,1.918,0.325
19,Annals of Laboratory Medicine,1.916,0.546
20,CLINICS IN LABORATORY MEDICINE,1.897,0.557
21,Biopreservation and Biobanking,1.827,0.478
22,JOURNAL OF CLINICAL LABORATORY ANALYSIS,1.303,0.315
23,LABORATORY MEDICINE,1.222,0.253
24,DIAGNOSTIC CYTOPATHOLOGY,1.014,0.244
25,Clinical Laboratory,0.848,0.203
26,ANNALS OF CLINICAL AND LABORATORY SCIENCE,0.800,0.197
27,Journal of Cytology,0.680,0.132
28,ANNALES DE BIOLOGIE CLINIQUE,0.401,0.073
29,LaboratoriumsMedizin-Journal of Laboratory Medicine,0.216,0.033
30,ACTA BIOQUIMICA CLINICA LATINOAMERICANA,0.113,0.018
Copyright Â© 2019 Clarivate Analytics,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,
