"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Categories: 'METEOROLOGY & ATMOSPHERIC SCIENCES' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
1,Nature Climate Change,19.181,9.464
2,Earth System Science Data,8.792,4.119
3,BULLETIN OF THE AMERICAN METEOROLOGICAL SOCIETY,7.804,4.933
4,ATMOSPHERIC CHEMISTRY AND PHYSICS,5.509,1.694
5,Wiley Interdisciplinary Reviews-Climate Change,5.124,1.942
6,JOURNAL OF THE METEOROLOGICAL SOCIETY OF JAPAN,5.023,1.174
7,JOURNAL OF CLIMATE,4.661,2.266
8,Earths Future,4.594,2.882
9,Environmental Research Letters,4.541,1.943
10,GLOBAL BIOGEOCHEMICAL CYCLES,4.457,2.220
11,AGRICULTURAL AND FOREST METEOROLOGY,4.039,1.412
12,Journal of Advances in Modeling Earth Systems,3.970,2.202
13,ATMOSPHERIC RESEARCH,3.817,0.990
14,JOURNAL OF HYDROMETEOROLOGY,3.790,1.566
15,CLIMATE DYNAMICS,3.774,1.730
16,ATMOSPHERIC ENVIRONMENT,3.708,0.965
17,CLIMATIC CHANGE,3.537,1.580
18,JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES,3.380,1.602
19,Atmospheric Measurement Techniques,3.248,1.257
20,MONTHLY WEATHER REVIEW,3.247,1.544
21,Climate of the Past,3.174,1.635
22,JOURNAL OF THE ATMOSPHERIC SCIENCES,3.159,1.471
23,INTERNATIONAL JOURNAL OF CLIMATOLOGY,3.100,1.230
24,OCEAN MODELLING,3.013,1.369
25,QUARTERLY JOURNAL OF THE ROYAL METEOROLOGICAL SOCIETY,2.978,1.361
26,SPACE WEATHER-THE INTERNATIONAL JOURNAL OF RESEARCH AND APPLICATIONS,2.887,0.862
27,Elementa-Science of the Anthropocene,2.838,Not Available
28,BOUNDARY-LAYER METEOROLOGY,2.607,0.886
29,INTERNATIONAL JOURNAL OF BIOMETEOROLOGY,2.577,0.621
30,METEOROLOGICAL APPLICATIONS,2.391,0.648
31,Journal of Space Weather and Space Climate,2.333,1.111
32,THEORETICAL AND APPLIED CLIMATOLOGY,2.321,0.693
33,Ocean Science,2.289,1.067
34,JOURNAL OF AEROSOL SCIENCE,2.281,0.667
34,NATURAL HAZARDS AND EARTH SYSTEM SCIENCES,2.281,0.795
36,WEATHER AND FORECASTING,2.276,1.090
37,Journal of Applied Meteorology and Climatology,2.236,1.168
38,International Journal of Disaster Risk Science,2.225,0.426
39,JOURNAL OF ATMOSPHERIC AND OCEANIC TECHNOLOGY,2.122,0.959
40,Journal of Operational Oceanography,2.067,0.723
41,Weather Climate and Society,2.033,0.931
42,TELLUS SERIES B-CHEMICAL AND PHYSICAL METEOROLOGY,2.013,1.163
43,AEROSOL SCIENCE AND TECHNOLOGY,2.000,0.673
44,International Journal of Disaster Risk Reduction,1.968,0.517
45,PHYSICS AND CHEMISTRY OF THE EARTH,1.923,0.561
46,NATURAL HAZARDS,1.901,0.551
47,Australian Meteorological and Oceanographic Journal,1.870,0.779
48,ADVANCES IN ATMOSPHERIC SCIENCES,1.869,0.646
49,Geoscience Data Journal,1.867,1.084
50,CLIMATE RESEARCH,1.859,0.703
51,ENVIRONMENTAL FLUID MECHANICS,1.846,0.610
52,WATER AIR AND SOIL POLLUTION,1.769,0.373
53,JOURNAL OF THE AIR & WASTE MANAGEMENT ASSOCIATION,1.742,0.501
54,TELLUS SERIES A-DYNAMIC METEOROLOGY AND OCEANOGRAPHY,1.738,0.871
55,Geomatics Natural Hazards & Risk,1.713,0.349
56,JOURNAL OF ATMOSPHERIC CHEMISTRY,1.708,0.554
57,Atmosphere,1.704,0.512
58,Advances in Meteorology,1.645,0.487
59,ANNALES GEOPHYSICAE,1.621,0.611
60,ADVANCES IN SPACE RESEARCH,1.529,0.439
61,JOURNAL OF ATMOSPHERIC AND SOLAR-TERRESTRIAL PHYSICS,1.492,0.485
62,METEOROLOGISCHE ZEITSCHRIFT,1.436,0.883
63,RADIO SCIENCE,1.418,0.550
64,METEOROLOGY AND ATMOSPHERIC PHYSICS,1.356,0.476
65,Asia-Pacific Journal of Atmospheric Sciences,1.344,0.462
66,Geoscientific Instrumentation Methods and Data Systems,1.319,0.525
67,Natural Hazards Review,1.278,0.595
68,DYNAMICS OF ATMOSPHERES AND OCEANS,1.219,0.573
69,Atmospheric Science Letters,1.198,0.607
70,ATMOSPHERE-OCEAN,1.195,0.500
71,NONLINEAR PROCESSES IN GEOPHYSICS,1.129,0.592
72,PHYSICAL GEOGRAPHY,1.086,0.340
73,ATMOSFERA,1.083,0.290
74,SOLA,1.069,0.476
75,JOURNAL OF AGRICULTURAL METEOROLOGY,1.037,Not Available
76,Journal of Meteorological Research,1.022,0.358
77,Journal of Southern Hemisphere Earth Systems Science,0.840,0.171
78,Weather,0.812,0.268
79,Idojaras,0.660,0.257
80,Journal of Agrometeorology,0.563,0.105
81,TERRESTRIAL ATMOSPHERIC AND OCEANIC SCIENCES,0.543,0.196
82,Russian Meteorology and Hydrology,0.507,0.107
83,IZVESTIYA ATMOSPHERIC AND OCEANIC PHYSICS,0.457,0.134
84,Italian Journal of Agrometeorology-Rivista Italiana di Agrometeorologia,0.314,0.094
85,Journal of Tropical Meteorology,0.288,0.114
86,Mausam,0.278,0.115
Copyright Â© 2019 Clarivate Analytics,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,
