"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Categories: 'WATER RESOURCES' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
1,WATER RESEARCH,7.051,1.499
2,DESALINATION,6.603,1.068
3,Exposure and Health,4.850,0.997
4,WATER RESOURCES RESEARCH,4.361,1.437
5,HYDROLOGY AND EARTH SYSTEM SCIENCES,4.256,1.476
6,Wiley Interdisciplinary Reviews-Water,3.943,Not Available
7,JOURNAL OF HYDROLOGY,3.727,1.097
8,Environmental Science-Water Research & Technology,3.649,0.854
9,ADVANCES IN WATER RESOURCES,3.512,1.458
10,CATENA,3.256,0.825
11,JOURNAL OF WATER RESOURCES PLANNING AND MANAGEMENT,3.197,0.680
12,AGRICULTURAL WATER MANAGEMENT,3.182,0.745
13,HYDROLOGICAL PROCESSES,3.181,0.927
14,ENVIRONMENTAL GEOCHEMISTRY AND HEALTH,2.994,0.564
15,AQUATIC CONSERVATION-MARINE AND FRESHWATER ECOSYSTEMS,2.988,0.753
16,Ecohydrology,2.755,0.869
17,Urban Water Journal,2.744,0.545
18,VADOSE ZONE JOURNAL,2.710,0.845
19,STOCHASTIC ENVIRONMENTAL RESEARCH AND RISK ASSESSMENT,2.671,0.608
20,Water Alternatives-An Interdisciplinary Journal on Water Politics and Development,2.647,Not Available
21,WATER RESOURCES MANAGEMENT,2.644,0.606
22,ENVIRONMENTAL TOXICOLOGY,2.491,0.474
23,Journal of Flood Risk Management,2.483,0.653
24,JOURNAL OF CONTAMINANT HYDROLOGY,2.284,0.673
25,NATURAL HAZARDS AND EARTH SYSTEM SCIENCES,2.281,0.795
26,OCEAN & COASTAL MANAGEMENT,2.276,0.544
27,JOURNAL OF SOIL AND WATER CONSERVATION,2.258,0.677
28,International Journal of Disaster Risk Science,2.225,0.426
29,JOURNAL OF THE AMERICAN WATER RESOURCES ASSOCIATION,2.160,0.629
30,Journal of Hydro-environment Research,2.087,0.621
31,JOURNAL OF HYDRAULIC ENGINEERING,2.080,0.681
32,JOURNAL OF HYDRAULIC RESEARCH,2.076,0.799
33,HYDROGEOLOGY JOURNAL,2.071,0.680
34,Water,2.069,0.422
35,RIVER RESEARCH AND APPLICATIONS,2.067,0.663
36,HYDROLOGICAL SCIENCES JOURNAL-JOURNAL DES SCIENCES HYDROLOGIQUES,2.061,0.609
37,International Journal of Disaster Risk Reduction,1.968,0.517
38,WATER INTERNATIONAL,1.956,0.412
39,PHYSICS AND CHEMISTRY OF THE EARTH,1.923,0.561
40,NATURAL HAZARDS,1.901,0.551
41,Groundwater,1.900,0.659
42,INTERNATIONAL JOURNAL OF WATER RESOURCES DEVELOPMENT,1.895,0.480
43,ENVIRONMENTAL FLUID MECHANICS,1.846,0.610
44,Hydrology Research,1.801,0.411
45,JOURNAL OF HYDROINFORMATICS,1.797,0.397
46,WATER AIR AND SOIL POLLUTION,1.769,0.373
47,Journal of Hydrology and Hydromechanics,1.714,0.393
48,Geomatics Natural Hazards & Risk,1.713,0.349
49,International Journal of Sediment Research,1.659,0.425
50,IRRIGATION SCIENCE,1.653,0.655
51,GROUND WATER MONITORING AND REMEDIATION,1.648,0.374
52,JOURNAL OF IRRIGATION AND DRAINAGE ENGINEERING,1.616,0.390
53,ECOHYDROLOGY & HYDROBIOLOGY,1.592,Not Available
54,WETLANDS ECOLOGY AND MANAGEMENT,1.581,0.463
55,JOURNAL OF HYDROLOGIC ENGINEERING,1.576,0.521
56,Canadian Water Resources Journal,1.574,0.397
57,Mine Water and the Environment,1.521,0.347
58,JOURNAL OF WATERWAY PORT COASTAL AND OCEAN ENGINEERING,1.481,0.603
59,Water Quality Exposure and Health,1.442,0.313
60,Environmental Earth Sciences,1.435,0.343
61,Desalination and Water Treatment,1.383,0.194
62,CLEAN-Soil Air Water,1.338,0.288
63,Natural Hazards Review,1.278,0.595
64,WATER SCIENCE AND TECHNOLOGY,1.247,0.246
65,WATER AND ENVIRONMENT JOURNAL,1.224,0.276
66,JOURNAL OF WATER SUPPLY RESEARCH AND TECHNOLOGY-AQUA,1.179,0.202
67,Membrane Water Treatment,1.167,0.130
68,LAKE AND RESERVOIR MANAGEMENT,1.016,0.224
69,Journal of Pipeline Systems Engineering and Practice,0.971,0.289
70,Soil and Water Research,0.882,0.220
71,Water Policy,0.838,0.257
72,WATER ENVIRONMENT RESEARCH,0.825,0.155
73,Journal of Water and Climate Change,0.809,0.224
74,Hydrologie und Wasserbewirtschaftung,0.800,0.154
75,Journal of Water Sanitation and Hygiene for Development,0.785,0.190
76,WATER SA,0.783,0.216
77,PROCEEDINGS OF THE INSTITUTION OF CIVIL ENGINEERS-MARITIME ENGINEERING,0.765,0.178
78,IRRIGATION AND DRAINAGE,0.707,0.193
79,Grundwasser,0.692,0.146
80,Journal of Water Reuse and Desalination,0.688,0.113
81,CHINA OCEAN ENGINEERING,0.674,0.157
81,Water Science and Technology-Water Supply,0.674,0.133
83,JOURNAL AMERICAN WATER WORKS ASSOCIATION,0.599,0.143
84,WATER QUALITY RESEARCH JOURNAL OF CANADA,0.556,0.147
85,PROCEEDINGS OF THE INSTITUTION OF CIVIL ENGINEERS-WATER MANAGEMENT,0.431,0.238
86,Water Resources,0.395,0.107
87,Engenharia Sanitaria e Ambiental,0.290,0.057
88,Tecnologia y Ciencias del Agua,0.216,0.038
89,WasserWirtschaft,0.155,0.015
90,HOUILLE BLANCHE-REVUE INTERNATIONALE DE L EAU,0.129,0.090
Copyright Â© 2019 Clarivate Analytics,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,
