"Journal Data Filtered By:  Selected JCR Year: 2018 Selected Editions: SCIE,SSCI Selected Categories: 'AGRICULTURE, DAIRY & ANIMAL SCIENCE' Selected Category Scheme: WoS",,,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score,Article Influence Score
1,Annual Review of Animal Biosciences,709,5.200,0.003160,2.306
2,Journal of Animal Science and Biotechnology,"1,422",3.441,0.004110,0.978
3,GENETICS SELECTION EVOLUTION,"2,813",3.094,0.004790,0.923
4,JOURNAL OF DAIRY SCIENCE,"48,844",3.082,0.031720,0.568
5,ANIMAL FEED SCIENCE AND TECHNOLOGY,"10,737",2.590,0.008620,0.636
6,DOMESTIC ANIMAL ENDOCRINOLOGY,"2,226",2.302,0.001980,0.527
7,ANIMAL GENETICS,"3,387",2.244,0.004100,0.578
8,POULTRY SCIENCE,"20,848",2.027,0.013190,0.505
9,Animal,"6,068",2.026,0.010800,0.637
10,Animal Frontiers,437,1.984,0.001230,Not Available
11,Animals,"1,036",1.832,0.002710,Not Available
12,ANIMAL REPRODUCTION SCIENCE,"7,935",1.817,0.006040,0.443
12,APPLIED ANIMAL BEHAVIOUR SCIENCE,"8,947",1.817,0.005560,0.515
14,ARCHIVES OF ANIMAL NUTRITION,"1,172",1.786,0.001060,0.450
15,JOURNAL OF ANIMAL PHYSIOLOGY AND ANIMAL NUTRITION,"3,041",1.703,0.004140,0.421
16,JOURNAL OF ANIMAL SCIENCE,"29,427",1.697,0.018860,0.492
17,REPRODUCTION IN DOMESTIC ANIMALS,"4,552",1.638,0.004880,0.395
18,JOURNAL OF ANIMAL BREEDING AND GENETICS,"1,367",1.633,0.001880,0.542
19,Annals of Animal Science,659,1.515,0.001360,0.259
20,JOURNAL OF REPRODUCTION AND DEVELOPMENT,"1,961",1.500,0.002240,0.419
21,BRITISH POULTRY SCIENCE,"4,725",1.421,0.002420,0.370
21,JOURNAL OF DAIRY RESEARCH,"3,069",1.421,0.001740,0.394
23,Livestock Science,"6,236",1.376,0.007820,0.437
24,WORLDS POULTRY SCIENCE JOURNAL,"2,355",1.364,0.001580,0.419
25,ANIMAL SCIENCE JOURNAL,"1,996",1.301,0.003600,0.328
26,Animal Production Science,"2,621",1.275,0.004980,0.333
27,Italian Journal of Animal Science,"1,635",1.265,0.001940,0.294
28,ANIMAL BIOTECHNOLOGY,470,1.263,0.000580,0.253
29,ASIAN-AUSTRALASIAN JOURNAL OF ANIMAL SCIENCES,"4,941",1.227,0.005550,0.378
30,SMALL RUMINANT RESEARCH,"5,821",1.210,0.004870,0.302
31,Archives Animal Breeding,148,1.157,0.000330,0.234
32,JOURNAL OF APPLIED ANIMAL RESEARCH,855,1.092,0.001550,0.212
33,TROPICAL ANIMAL HEALTH AND PRODUCTION,"3,478",1.089,0.004150,0.276
34,CZECH JOURNAL OF ANIMAL SCIENCE,"1,078",1.008,0.000950,0.223
35,Animal Reproduction,592,0.985,0.000860,0.234
36,Revista Mexicana de Ciencias Pecuarias,344,0.884,0.000400,0.160
37,JOURNAL OF ANIMAL AND FEED SCIENCES,767,0.875,0.000510,0.184
38,Avian Biology Research,278,0.853,0.000600,0.277
39,CANADIAN JOURNAL OF ANIMAL SCIENCE,"2,483",0.850,0.001230,0.272
40,REVISTA BRASILEIRA DE ZOOTECNIA-BRAZILIAN JOURNAL OF ANIMAL SCIENCE,"3,466",0.832,0.001430,0.217
41,JOURNAL OF APPLIED POULTRY RESEARCH,"2,192",0.808,0.001530,0.301
42,Mljekarstvo,322,0.806,0.000350,0.172
43,ANIMAL SCIENCE PAPERS AND REPORTS,390,0.697,0.000290,0.131
44,ACTA AGRICULTURAE SCANDINAVICA SECTION A-ANIMAL SCIENCE,475,0.688,0.000350,0.225
45,JOURNAL OF POULTRY SCIENCE,656,0.670,0.000770,0.233
46,SOUTH AFRICAN JOURNAL OF ANIMAL SCIENCE,"1,029",0.653,0.000820,0.186
47,Brazilian Journal of Poultry Science,794,0.607,0.000880,0.151
48,World Rabbit Science,526,0.605,0.000460,0.217
49,Revista Colombiana de Ciencias Pecuarias,221,0.571,0.000160,0.085
50,European Poultry Science,135,0.485,0.000320,0.115
51,Tropical Grasslands-Forrajes Tropicales,108,0.441,0.000280,Not Available
52,Indian Journal of Animal Research,492,0.437,0.000650,0.060
53,ITEA-Informacion Tecnica Economica Agraria,81,0.346,0.000100,0.061
54,Inra Productions Animales,123,0.310,0.000190,0.100
55,Animal Nutrition and Feed Technology,155,0.309,0.000250,0.075
56,Fourrages,144,0.273,0.000060,0.024
57,Large Animal Review,94,0.261,0.000210,0.084
58,INDIAN JOURNAL OF ANIMAL SCIENCES,"1,244",0.227,0.000740,0.040
59,Revista MVZ Cordoba,248,0.188,0.000240,0.067
60,ZUCHTUNGSKUNDE,167,0.167,0.000090,0.043
61,Buffalo Bulletin,195,0.096,0.000290,0.035
Copyright Â© 2019 Clarivate Analytics,,,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,,,
